id_s, name, year_open, address, city ,state 
1_1,MARY BELLE MCCORKLE ACADEMY OF EXCELLENCE PREK-8,2015,4455 S. Mission Road,,Arizona
2_1,ARKADELPHIA HIGH SCHOOL,2012,401 High School Drive,Arkadelphia,Arkansas
2_2,CROSS COUNTY HIGH SCHOOL,2011,21 County Road 215,Cherry Valley,Arkansas
2_3,HILLCREST NEW TECH HIGH SCHOOL,2013,146 South Main,Strawberry,Arkansas
2_4,ROGERS NEW TECHNOLOGY HIGH SCHOOL,2013,2922 S. First Street,Rogers,Arkansas
3_1,ANDERSON NEW TECHNOLOGY HIGH SCHOOL,2002,2098 North St.,Anderson,California
3_2,APPLIED TECHNOLOGY CENTER HIGH SCHOOL,2007,1200 W. Mines Avenue,Montebello,California
3_3,BLACK DIAMOND MIDDLE SCHOOL,2019,4730 Sterling Hill Drive,Antioch,California
3_4,BRIDGES ACADEMY,2016,1702 McLaughlin Avenue,San Jose,California
3_5,BULLDOG TECH,2012,1865 Monrovia,San Jose,California
3_6,CAROLYN CLARK ELEMENTARY SCHOOL,2015,3701 Rue Mirassou,San Jose,California
3_7,CEDAR GROVE ELEMENTARY SCHOOL,2015,2702 Sugarplum Drive,San Jose,California
3_8,CENTRAL COAST NEW TECH HIGH SCHOOL,2012,Nipomo High School Campus 525 N. Thompson Avenue,Nipomo,California
3_9,DA VINCI CHARTER ACADEMY,2004,1400 East 8th Street,Davis,California
3_10,DA VINCI JUNIOR HIGH CHARTER ACADEMY,2004,2121 Calaveras Avenue,Davis,California
3_11,GEYSERVILLE NEWTECH ACADEMY,2014,1300 Moody Lane,Geyserville,California
3_12,GT SCHOOL OF INNOVATION,2018,6530 Wentworth Springs Road,Georgetown,California
3_13,JAMES LICK HIGH SCHOOL,2014,57 North White Road,San Jose,California
3_14,KATHERINE SMITH ELEMENTARY,2013,2025 Clarice Drive,San Jose,California
3_15,LOBO SCHOOL OF INNOVATION,2016,3190 Quimby Road,San Jose,California
3_16,LOS GATOS HIGH SCHOOL,2013,20 High School Court,Los Gatos,California
3_17,NAPA JUNCTION MAGNET,2013,300 Napa Junction Rd.,American Canyon,California
3_18,NEW TECHNOLOGY HIGH SCHOOL,1996,920 Yount Street,Napa,California
3_19,POINT ARENA HIGH SCHOOL,2016,270 Lake Street,Point Arena,California
3_20,SACRAMENTO NEW TECHNOLOGY HIGH SCHOOL,2003,1400 Dickson Street,Sacramento,California
3_21,SAMUELI ACADEMY,2013,1901 N. Fairview Street,Santa Ana,California
3_22,SHEPPARD MIDDLE SCHOOL,2018,480 Rough & Ready Road,San Jose,California
3_23,WASHINGTON ELEMENTARY SCHOOL,2016,520 18th St.,Sacramento,California
4_1,ARVADA HIGH SCHOOL,2019,7951 W 65th Avenue,Arvada,Colorado
4_2,NORTH ARVADA MIDDLE SCHOOL,2021,7285 Pierce Street,Arvada,Colorado
5_1,FIRST STATE MILITARY ACADEMY,2015,355 W. Duck Creek Road,Clayton,Delaware
6_1,COMPASS ACADEMY,2012,935 Garfield Street,Idaho Falls,Idaho
7_1,CICS WRIGHTWOOD ELEMENTARY SCHOOL,2021,8130 S. California Avenue,Chicago,Illinois
7_2,DANVILLE NEW TECH HIGH SCHOOL,2009,202 East Fairchild Street,Danville,Illinois
7_3,NEW TECH HIGH @ ZION-BENTON EAST,2008,1634 23rd Street,Zion,Illinois
8_1,BLOOMFIELD JR-SR HIGH SCHOOL,2020,501 W Spring Street,Bloomfield,Indiana
8_2,CALUMET NEW TECH HIGH SCHOOL,2010,3900 Calhoun Street,Gary,Indiana
8_3,COLUMBUS SIGNATURE ACADEMY – CENTRAL MIDDLE SCHOOL CAMPUS,2012,725 7th Street,Columbus,Indiana
8_4,COLUMBUS SIGNATURE ACADEMY – NEW TECH,2010,2205 25th Street,Columbus,Indiana
8_5,CROSSROAD ACADEMY,2021,1825 Beacon Street,Fort Wayne,Indiana
8_6,DEKALB FUSION ACADEMY,2014,3338 County Road 427,Waterloo,Indiana
8_7,DEKALB HIGH SCHOOL,2012,3424 County Road 427,Waterloo,Indiana
8_8,EAGLE TECH ACADEMY,2011,1600 South State Road 9,Columbia City,Indiana
8_9,HAMMOND CENTRAL HIGH SCHOOL,2021,5926 Calumet Avenue,Hammond,Indiana
8_10,LAKE RIDGE NEW TECH MIDDLE SCHOOL,2012,3601 West 41st Avenue,Gary,Indiana
8_11,LONGFELLOW NEW TECH ELEMENTARY,2015,4500 Calhoun Street,Gary,Indiana
8_12,LOWELL HIGH SCHOOL,2013,2051 East Commercial Avenue,Lowell,Indiana
8_13,LOWELL MIDDLE SCHOOL,2013,19250 Cline Avenue,Lowell,Indiana
8_14,MORTON HIGH SCHOOL,2021,6915 Grand Avenue,Hammond,Indiana
8_15,NEW TECH ACADEMY @ WAYNE HIGH SCHOOL,2009,9100 Winchester Road,Fort Wayne,Indiana
8_16,NEW TECH INSTITUTE,2010,1901 Lynch Road,Evansville,Indiana
